,name,id,cv_gt,cv_gk,cv_tk,cv_gtk,tv_gt,tv_gk,tv_tk,tv_gtk,cv_gtkn,cv_gtky,cv_gtkd
0,Monster Truck Destruction,10553,1,1,0,1,1,1,0,1,1,1,1
1,The Guild 2: Pirates of the European Seas,9323,0,0,0,0,0,0,0,0,0,0,0
2,Steel Invaders,30417,0,0,0,0,0,0,0,0,0,0,0
3,Top Gun: Combat Zones,9236,0,0,0,0,0,0,0,0,0,0,0
4,The Treasures of Montezuma 3,17790,0,0,0,0,0,0,0,0,0,0,0
5,Chasing the Stars,102135,0,0,0,0,0,0,0,0,0,0,0
6,Plug Me,95145,0,0,0,0,0,0,0,0,0,0,0
7,de Blob,2637,0,0,0,0,0,0,0,0,0,1,1
8,Might & Magic: Heroes VI,373,0,0,0,0,1,1,0,1,0,0,0
9,Army Men: Sarge's Heroes,3440,0,2,0,0,0,1,0,0,1,0,0
10,Gravity Badgers,10376,0,0,0,0,0,0,0,0,0,0,0
11,Sentience: The Android's Tale,36631,0,0,0,0,0,0,0,0,0,0,0
12,V Arrr,32559,0,0,0,0,0,0,0,0,0,0,0
13,Clandestinity of Elsie,35025,0,0,0,0,0,0,0,0,0,0,0
14,Dragon Age: Origins - Ultimate Edition,27911,0,0,0,0,0,0,0,0,0,0,0
15,Samsara,76641,0,0,0,0,0,0,0,0,0,0,0
16,Gemini Lost,16080,0,2,2,2,0,2,2,2,2,2,2
17,Millionaire Manor,17371,0,0,0,0,0,0,0,0,0,0,0
18,Disciples III: Renaissance,9824,0,0,0,0,1,0,0,0,0,0,0
19,CTU: Counter Terrorism Unit,34586,0,0,0,0,0,0,0,0,0,0,0
20,Praey for the Gods,14378,0,0,0,0,0,0,0,0,0,0,0
21,Recovery Search and Rescue Simulation,9412,0,0,0,0,0,0,0,0,0,0,0
22,Love You to Bits,68476,0,1,0,0,0,1,0,0,0,0,0
23,Combat Tested,89329,0,0,0,0,0,0,0,0,0,0,0
24,Europa Universalis III: Heir to the Throne,743,0,0,0,0,0,1,0,1,0,0,0
25,"Drumpf: Rise Up, Libertonia!",88017,0,0,0,0,0,0,0,0,0,0,0
26,Stikir,110941,0,0,0,0,0,0,0,1,0,0,0
27,Ultimate General: Gettysburg,8424,2,0,0,0,0,0,0,0,0,0,0
28,Answer the Question,108604,0,0,0,0,0,0,0,0,0,0,0
29,The Note,26518,0,0,1,1,0,0,1,1,1,1,1
30,Earthworm Jim 2,3481,0,1,1,1,0,1,1,1,1,1,1
31,Fart Simulator 2018,84120,0,0,0,0,0,0,0,0,0,0,0
32,Europa 1400: The Guild,681,0,0,0,0,0,0,0,0,0,0,0
33,Sea Salt,96204,0,0,0,0,0,0,0,0,0,0,0
34,Munchkin: Quacked Quest,110314,0,0,0,0,0,0,0,0,0,0,0
35,Void Source,41941,0,0,1,0,0,0,1,0,0,0,0
36,Quern: Undying Thoughts,26223,0,1,0,1,0,1,0,0,1,1,1
37,CPU Invaders,56553,0,0,0,0,0,0,0,0,0,0,0
38,Super Bunny Man,55472,0,0,0,0,0,0,0,0,0,0,0
39,Irony Curtain: From Matryoshka with Love,106108,0,1,0,0,0,1,0,0,0,0,0
40,QbQbQb,15496,0,0,0,0,0,0,0,0,0,0,0
41,Emergency 2016,52959,0,0,0,0,0,0,0,0,0,0,0
42,Open Sorcery,27444,0,2,0,2,0,2,0,2,1,1,1
43,Gachi Heroes 2: Flexboll,127191,0,0,0,0,0,0,0,0,0,0,0
44,The Backrooms,120761,0,0,0,0,0,0,0,0,0,0,0
45,Shrek 2,175940,0,0,0,0,0,0,0,0,0,0,0
46,Polda 5,64590,0,0,0,0,0,0,0,0,0,0,0
47,Journal,16808,0,0,0,0,0,0,0,0,0,0,0
48,Pay2Win: The Tricks Exposed,34100,1,1,0,1,1,1,0,1,1,1,1
49,Put in,122803,0,0,0,0,0,0,0,0,0,0,0
50,Kingdom Come: Deliverance,4843,0,1,1,1,0,0,1,0,0,0,0
51,Euro Truck Simulator 2: Going East,26252,0,0,0,0,0,0,0,0,0,0,0
52,Eternal Senia,35715,1,0,0,0,0,0,0,0,0,0,0
53,The Artifact,31061,0,0,0,0,0,0,0,0,0,0,0
54,Riddles of the Past,32090,0,0,0,0,0,0,0,0,0,0,0
55,MechWarrior Online,1255,0,0,0,0,1,0,0,0,0,0,0
56,Memento,33653,0,0,0,0,0,0,0,0,0,0,0
57,Slippy Slug,34671,0,0,0,0,0,0,0,0,0,0,0
58,Dark Hero Party,115867,1,1,0,1,1,1,0,1,1,1,1
59,Homebound,27682,0,0,0,0,0,0,0,0,0,0,0
